countycode,state,amount_1990s,amount_2000s,amount_2010s
05113,AR,8203.98,15422.880000000001,160717.12
05115,AR,169687.57,72439.88,518288.35000000003
05117,AR,0,250757.15000000002,2705062.94
05119,AR,580656.22,9121469.059999999,13771413.03
05121,AR,18238.219999999998,1051838.97,7736600.55
05123,AR,26175.36,234050.47999999998,178654.97
05125,AR,29092.07,2282909.67,1219260.6099999999
05127,AR,25693.48,79431.20999999999,790995.66
05131,AR,1141880.7100000002,1179101.74,12911248.68
05133,AR,238745.90000000002,9946.79,389169.55
05135,AR,5930.64,1473392.7899999998,311804.8
05137,AR,0,95023.19999999998,100000
05139,AR,425991.08,676615.27,87455
05141,AR,32795.42,31888.789999999997,173567.05
05143,AR,47175.28,1449247.45,8563500.629999999
05145,AR,4868.3099999999995,1264752.33,1777873.72
05147,AR,0,359926.33,1115568.1700000002
05149,AR,50083.009999999995,1924.68,215156
06001,CA,1545737.8800000001,116710.71999999999,143748.79
06003,CA,33512.979999999996,0,12484
06005,CA,282057.24,30358.5,498520.88
06007,CA,2723062.61,320814.87,2167915.9899999998
06009,CA,63029.19,699804.91,379425.2
06011,CA,1994246.0000000002,0,875910.5
06013,CA,1880836.53,3877094.1100000003,2513450.91
06015,CA,292422.73,140939.34,18027.68
06017,CA,1146787.54,650949.22,735204.6
06019,CA,1175474.78,504488.37,246882.15
06021,CA,1522034.4900000002,62795.590000000004,645165.63
06023,CA,1072914.67,906953.65,155996.58000000002
06025,CA,0,28193.44,0
06027,CA,0,0,4061.69
06029,CA,481631.44,165027.79,304265
06031,CA,0,10099.810000000001,2246.38
06033,CA,7953328.75,580899.73,2768096.4
06035,CA,152986.81,5726.65,916900.8999999999
06037,CA,22206020.41,7713682.16,12307351.48
06039,CA,217725.93,31284.760000000002,21704.74
06041,CA,4294535.760000001,30887099.080000002,2235615.95
06045,CA,294242.23000000004,3925623.74,154060.88
06047,CA,1775708.3399999999,2455544.13,248763.76
06051,CA,213093.16999999998,101214.73999999999,3927.13
06053,CA,22284663.59,3344318.27,1665852.64
06055,CA,9311434.56,16548710.530000001,389702.83999999997
06057,CA,292375.25,159235.29,529180.23
06059,CA,9142233.98,2176167.56,4594761.48
06061,CA,12865467.12,271886.49,884829.96
06063,CA,692022.0499999999,18137.989999999998,419853.69000000006
06065,CA,1568944.8399999999,742810.7699999999,9480755.42
06067,CA,21260798.19,5921236.15,3228588.61
06069,CA,607033.35,40349.52,1251478.56
06071,CA,1627074.42,2326217.76,1712341.6
06073,CA,4933576.63,2892644.46,11767500.16
06075,CA,0,2316.5,2784.59
06077,CA,3820739.84,732082.05,289312.95
06079,CA,2420634.08,1355348.31,621222.16
06081,CA,3956709.08,2687692.6100000003,2187734.41
06083,CA,5079195.84,901480.8500000001,16950057.31
06085,CA,12064351.77,923643.14,8375165.779999999
06087,CA,5397355.609999999,1022724.71,2227484.05
06089,CA,775909.0599999999,381834,1382713.4100000001
06091,CA,91028.86,383321.07,117932.26
06093,CA,417809.1,39177.54,5808.04
06095,CA,1192728.19,5724958.16,1078667.98
06097,CA,51806625.2,23443512.95,27884865.349999998
06099,CA,4084731.65,115720.68,135459.86
06101,CA,2340746.09,39733.880000000005,437476.11
06103,CA,1269803.36,9173.18,2316567.2
06105,CA,7924.2,0,19627.52
06107,CA,676614.0599999999,306264.4,94948.86
06109,CA,4322.05,0,208370.87
06111,CA,3872317.35,5895089.869999999,1879856.89
06113,CA,2165628.06,375549.27999999997,641698.0599999999
06115,CA,6706543.299999999,464309.73,311197.06
08001,CO,11312.310000000001,56049.74,133752.07
08003,CO,2817.52,0,0
08005,CO,13639.050000000001,33431.84,679139
08007,CO,151.68,0,0
08013,CO,139643.88,65876.99,49139715.19
08014,CO,0,0,21185.36
08015,CO,2316.83,0,304825.48000000004
08019,CO,2168.0099999999998,6243.12,14399.669999999998
08021,CO,5182.98,0,0
08023,CO,0,0,10316.64
08025,CO,0,0,0
08029,CO,15725.57,14235.35,0
08031,CO,199498.94000000003,55851.590000000004,195544.7
08035,CO,6722.17,431892.11000000004,50832.950000000004
08037,CO,0,12048.56,51047.55
08039,CO,0,0,0
08041,CO,351591.7,174725.08000000002,5115907.590000001
08043,CO,74480.44,50507.86,217814.73
08045,CO,39375.21000000001,7480.5599999999995,0
08047,CO,1462.46,0,0
08049,CO,8332,0,0
08051,CO,31210.760000000002,17873.65,7202.65
08053,CO,0,0,0
08055,CO,768.7,1115.56,0
08059,CO,253768.32,151563.04,1282626.81
08065,CO,0,0,2582.02
08067,CO,13815.21,446315.72000000003,311303.71
08069,CO,507702.53,889552.63,12534559.600000001
08071,CO,2004.4,8987.76,0
08073,CO,0,4361.98,0
08075,CO,170870.91999999998,0,654301.28
08077,CO,4759.25,51905.27,28453.4
08083,CO,0,2487.22,16846.14
08085,CO,0,0,34253.55
08087,CO,3601.9700000000003,27954.37,396443.27999999997
08089,CO,1673735.02,0,76511.47
08093,CO,0,342.9,0
08095,CO,2244.19,5158.3,0
08097,CO,205365.58,23258.89,9778.28
08099,CO,2782.5899999999997,6705.469999999999,10802.33
08101,CO,125302.97,66960.23,99909.7
08103,CO,14908.369999999999,7651.89,7078.98
08105,CO,0,0,10287.11
08107,CO,50993.58,288.4,358747.68
08113,CO,23037.350000000002,92565.56000000001,17001.579999999998
08117,CO,7147.18,2150,4794.28
08119,CO,0,2429.09,9595.59
08123,CO,110750.57999999999,26609.95,5550996.539999999
08125,CO,0,1848.05,1449.87
09001,CT,35070955.75,22966650.080000002,191075773.69
09003,CT,1435650.73,3222328.17,5329203.76
09005,CT,265458.94,1010141.7100000001,3423557.1799999997
09007,CT,1151184.8399999999,1330029.27,30693668.869999997
09009,CT,21700387.47,5797221.12,124558305.72
09011,CT,401473.14,1542213.05,25670966.449999996
09013,CT,75393.17,1084487.06,109634.39
09015,CT,41733.240000000005,377513.45,933294.8200000001
10001,DE,666631.0599999999,1559630.3699999999,1001082.5900000001
10003,DE,8281838.850000001,25527856.619999997,6847257.75
10005,DE,12163541.33,1781984.3900000001,19818112.09
11001,DC,984392,929108.38,2379414.36
12001,FL,670266.9099999999,710667.37,4571277.46
12003,FL,285959.08,599518.07,1832079.9100000001
12005,FL,151260394.78,26889839.2,132234916.79
12007,FL,162912.23,114845.52,3789163.8799999994
12009,FL,2243692.0500000003,32645409.080000002,22164118.130000003
12011,FL,27641086.01,56098066.95,47314171.699999996
12013,FL,1456762.25,412221.35,205046.18
12015,FL,3877338.64,6962358.88,3907776.14
12017,FL,57691755.05,4308206.35,51395186.07
12019,FL,2555172.22,3473469.29,67437335.03
12021,FL,2650226.7199999997,9745723.38,61464496.510000005
12023,FL,650220.65,1069951,5467183
12027,FL,683442.52,1441388.05,2379037.6399999997
12029,FL,5808111.6,1033916.88,1577224.2999999998
12031,FL,11753280.95,18181514.67,169226036.64
12033,FL,71555024.74000001,458786715.34000003,86941762.95
12035,FL,76858.03,1837517.64,54973641.46999999
12037,FL,3567892.94,19012066.39,19218126.53
12039,FL,86454.47,128666.87999999999,71568.26
12041,FL,717187.3099999999,1004014.2599999999,348580.99
12043,FL,6858.38,267803.04000000004,111851.75
12045,FL,6893589.83,3488910.51,79305534.55
12047,FL,464030.06,863102.5700000001,50367.3
12049,FL,316154.07,323615.74,1065931.63
12051,FL,34668.87,394340.97,227713.41
12053,FL,26117136.78,1571328.0999999999,11281596.969999999
12055,FL,21988.530000000002,535013.2,823203.54
12057,FL,18559925.38,16751611.9,22442535.689999998
12059,FL,944681.02,219467.94,49806.759999999995
12061,FL,1651303.39,52758592.33,7388444.7299999995
12063,FL,202289.25999999998,241925.5,283043.58
12065,FL,56302.78,6587.92,531.74
12067,FL,515799.09,1148794.0999999999,220190.13
12069,FL,203462.82,919676.4400000001,2253500.15
12071,FL,3927316.94,66358403.68000001,63593748.519999996
12073,FL,3435760.75,5341260.34,763220.79
12075,FL,6579081.13,1128853.41,7120844.65
12077,FL,27624.57,104008.61000000002,0
12079,FL,370888.74,749839.1299999999,171051
12081,FL,9786087.35,9239697.85,10477489.14
12083,FL,126004.36000000002,527203.3400000001,3710906.31
12085,FL,6270043.11,26385542.87,4182382.5300000003
12086,FL,250083598.29999998,309367041.12,139725902.17000002
12087,FL,49855295.629999995,337877820.59,288412105.99
12089,FL,1988207.8,951660.62,7481607.37
12091,FL,127642249.89999999,138669791.86,10714139.54
12093,FL,9024.380000000001,1400138.5,512263.49
12095,FL,717219.47,2719252.19,4593753.87
12097,FL,31126.719999999998,958562.57,2643604.77
12099,FL,19842048.13,22634753.94,17660051.03
12101,FL,91501964.23,7428957.96,33469177.21
12103,FL,96469797.08,10554769.06,13077922.67
12105,FL,1056015.7899999998,6367511.63,7965830.9399999995
12107,FL,116121.78,1581060.75,6737998.460000001
12109,FL,3238105.4299999997,3299006.0100000002,210260210.88
12111,FL,1017258.39,68304079.66,13044892.74
12113,FL,41052527.44,429781730.04999995,20770704.37
12115,FL,17952303.990000002,9515168.1,4187770.8400000003
12117,FL,507179.11000000004,4632290.29,5623910.26
12119,FL,133367.02,390226.77,156306.98
12121,FL,1136456.55,953822.2200000001,3106896.21
12123,FL,2150400.25,1627466.9100000001,4478837.38
12125,FL,226116.90000000002,9653.85,230156.07
12127,FL,4653266.94,45312971.91,65152062.13
12129,FL,4199329.72,16992019.720000003,11801111.3
12131,FL,17851097.580000002,27800793.65,9331113.54
12133,FL,2622629.75,112439.73,346057.89
13001,GA,2959,199564.63999999998,46643.47
13005,GA,7997.049999999999,0,0
13007,GA,357359.65,68286.98,97786.56000000001
13009,GA,27143.2,48849.76,2492.71
13011,GA,0,0,0
