countycode,yearofloss,state,amount_paid
01035,1979,AL,62489.5
01035,2009,AL,0
01037,1990,AL,0
01037,1996,AL,27870.48
01037,2003,AL,20565.03
01037,2009,AL,0
01037,2010,AL,32801.38
01037,2011,AL,32664.34
01037,2015,AL,72162.38
01039,1984,AL,11005.369999999999
01039,1994,AL,759.9
01039,1998,AL,281500.61
01039,1999,AL,9420.39
01039,2001,AL,7158.120000000001
01039,2013,AL,0
01039,2015,AL,33467.91
01041,1995,AL,0
01041,1998,AL,0
01043,1979,AL,112900
01043,1983,AL,380
01043,1990,AL,5682.49
01043,1993,AL,0
01043,1996,AL,147.45
01043,2002,AL,0
01043,2004,AL,11440.82
01043,2009,AL,16149.62
01043,2011,AL,0
01043,2015,AL,216987.88
01045,1979,AL,11810.419999999998
01045,1981,AL,75
01045,1984,AL,0
01045,1988,AL,10788.37
01045,1990,AL,116682.29000000001
01045,1993,AL,56603.090000000004
01045,1994,AL,2305138.91
01045,1995,AL,26793.43
01045,1998,AL,961969.69
01045,2005,AL,43519.55
01045,2009,AL,343496.77
01045,2010,AL,1098.16
01045,2012,AL,2035.37
01045,2013,AL,2487.2
01045,2015,AL,90824.85999999999
01045,2019,AL,0
01047,1979,AL,181869.68
01047,1980,AL,3714.88
01047,1983,AL,5810
01047,1985,AL,0
01047,1990,AL,1116795.19
01047,1992,AL,0
01047,1993,AL,0
01047,1995,AL,14524.6
01047,1998,AL,31066.25
01047,1999,AL,17174.98
01047,2001,AL,36757.68
01047,2003,AL,0
01047,2004,AL,52728.42
01047,2005,AL,33099.79
01047,2009,AL,15163.42
01047,2010,AL,0
01047,2012,AL,106912.88
01047,2013,AL,98425.45999999999
01047,2015,AL,155394.89
01047,2016,AL,2972.33
01047,2018,AL,0
01049,1988,AL,660
01049,1992,AL,60704.6
01049,1995,AL,113862.52
01049,1997,AL,2254
01049,1999,AL,4160.96
01049,2002,AL,0
01049,2003,AL,128087.26
01049,2007,AL,130000
01049,2009,AL,0
01049,2011,AL,0
01049,2014,AL,192358.81
01049,2015,AL,10461.72
01051,1978,AL,696.72
01051,1979,AL,39263.98
01051,1980,AL,162.25
01051,1985,AL,0
01051,1990,AL,316019.36000000004
01051,1994,AL,0
01051,1995,AL,28428.63
01051,1996,AL,19394.85
01051,1997,AL,49725.92
01051,2000,AL,7959.98
01051,2001,AL,2717.22
01051,2004,AL,0
01051,2005,AL,36973.99
01051,2006,AL,20116.64
01051,2008,AL,0
01051,2009,AL,135728.16
01051,2010,AL,0
01051,2011,AL,0
01051,2012,AL,14813.67
01051,2013,AL,0
01051,2015,AL,55130.11
01051,2016,AL,120118.28
01051,2017,AL,16582.43
01051,2018,AL,0
01053,1975,AL,5000
01053,1978,AL,12267.98
01053,1979,AL,152777.2
01053,1980,AL,4507.1
01053,1981,AL,33845.06
01053,1983,AL,2307.48
01053,1985,AL,10469.05
01053,1986,AL,5703.26
01053,1987,AL,450.52
01053,1989,AL,2463.27
01053,1990,AL,790304.78
01053,1993,AL,1532.2
01053,1994,AL,3484.75
01053,1995,AL,185473.05
01053,1996,AL,3150.57
01053,1997,AL,0
01053,1998,AL,6144707.83
01053,2001,AL,0
01053,2002,AL,1964.55
01053,2003,AL,10131.17
01053,2004,AL,339994.5
