state,yearofloss,amount_paid,cum_paid
VI,1990,24664.41,8510130.76
VT,1990,6085.95,1131726.08
WA,1990,20900114.15,35045634.91
WI,1990,857345.54,4070810.55
WV,1990,1328553.91,67783854.2
WY,1990,0,1030384.6599999999
AK,1991,433231.3,939127.08
AL,1991,1004672.0700000001,89973050.11
AR,1991,1562534.74,19882813.23
AS,1991,0,0
AZ,1991,15993.04,15005149.870000001
CA,1991,1213547.2899999998,108763375.04
CO,1991,115435.55,3395476.56
CT,1991,1950331.97,36338738.18
DC,1991,7480.36,864523.61
DE,1991,151962.94999999998,3455318.17
FL,1991,9995928.559999999,157682360.92
GA,1991,2501068.1999999997,21761316.66
GU,1991,48356.770000000004,61954.32000000001
HI,1991,1938991.9700000002,12607110.27
IA,1991,679082.16,12222633.66
ID,1991,0,560327.62
IL,1991,517044.47,83205959.53
IN,1991,932605.79,25066882.03
KS,1991,43919.53,13683337.43
KY,1991,1462971.94,60118557.92
LA,1991,75043083,653333664.63
MA,1991,126030612.57000001,169975890.56
MD,1991,355367.54,21305724.46
ME,1991,5214689.32,20849372.36
MI,1991,525218.9,23694910.45
MN,1991,124740.29,17898451.03
MO,1991,2182485.2399999998,120490593.35000001
MS,1991,11997530.13,126136069.62
MT,1991,69091.87999999999,2134454.96
NC,1991,9537557.83,45117634.87
ND,1991,113685.48,9730435.84
NE,1991,445993.14,10438957.61
NH,1991,1878484.1400000001,5344552.21
NJ,1991,11576575.79,134491092.87
NM,1991,6833.27,530227.3099999999
NV,1991,14811.96,2358388.31
NY,1991,37525330.61,152139772.38
OH,1991,431625.52,36075861.84
OK,1991,186486.18,61135616.06
OR,1991,158037.31,3347323.9899999998
PA,1991,1412412.8900000001,69676721.56
PR,1991,224602.18,37334182.43
RI,1991,6591305.2,14293069.95
SC,1991,295434.94,373162402.15000004
SD,1991,3248.71,1178903.09
TN,1991,758071.13,15309042.31
TX,1991,34221571.83,760290182.7600001
UT,1991,4300.3499999999995,4474765.7
VA,1991,630873.18,60593181.82
VI,1991,0,8510130.76
VT,1991,5603.79,1137329.87
WA,1991,841332.18,35886967.089999996
WI,1991,7307.21,4078117.76
WV,1991,690930.08,68474784.28
WY,1991,1309.71,1031694.37
AK,1992,520355.06999999995,1459482.15
AL,1992,299217.95,90272268.06
AR,1992,40772.03,19923585.26
AZ,1992,787644.46,15792794.33
CA,1992,4160013.67,112923388.71000001
CO,1992,33324.92,3428801.48
CT,1992,42973142.98,79311881.16
DC,1992,0,864523.61
DE,1992,5441602.7,8896920.87
FL,1992,158126863.51999998,315809224.44
GA,1992,1239378.77,23000695.43
GU,1992,638.6,62592.920000000006
HI,1992,35808639.15,48415749.42
IA,1992,32554.89,12255188.55
ID,1992,2711.61,563039.23
IL,1992,79376.83,83285336.36
IN,1992,1295271.17,26362153.2
KS,1992,793089.1000000001,14476426.53
KY,1992,740177.7,60858735.620000005
LA,1992,33620338.29,686954002.92
MA,1992,18418152.02,188394042.58
MD,1992,4575071.81,25880796.27
ME,1992,44603.37,20893975.73
MI,1992,31948.15,23726858.6
MN,1992,62937.18,17961388.21
MO,1992,561629.47,121052222.82000001
MS,1992,610520.7999999999,126746590.42
MT,1992,12971.76,2147426.7199999997
NC,1992,2576828.23,47694463.099999994
ND,1992,1865.2,9732301.04
NE,1992,149684.11,10588641.719999999
NH,1992,67518.31999999999,5412070.53
NJ,1992,205166147.39,339657240.26
NM,1992,559847.1000000001,1090074.4100000001
NV,1992,58120.85999999999,2416509.17
NY,1992,109719605.01,261859377.39000002
OH,1992,1540881.31,37616743.15
OK,1992,769095.24,61904711.300000004
OR,1992,10346.16,3357670.15
PA,1992,1295843.85,70972565.41
PR,1992,6010252.94,43344435.37
RI,1992,685274.5900000001,14978344.54
SC,1992,523141.08,373685543.23
SD,1992,9387.43,1188290.52
TN,1992,165477.7,15474520.01
TX,1992,59264621.55,819554804.3100001
UT,1992,14999.15,4489764.85
VA,1992,9361924.4,69955106.22
VI,1992,57593.65,8567724.41
VT,1992,1555090.73,2692420.6
WA,1992,70043.69,35957010.78
WI,1992,115533.3,4193651.06
WV,1992,163083.31,68637867.59
WY,1992,0,1031694.37
NA,1992,0,0
AK,1993,34708.61,1494190.76
AL,1993,194063.13,90466331.19
AR,1993,795117.85,20718703.11
AZ,1993,4469676.21,20262470.54
CA,1993,6785042.97,119708431.68
CO,1993,93481.24,3522282.7199999997
CT,1993,487602.69,79799483.85
DC,1993,19361.16,883884.77
DE,1993,153788.68,9050709.55
FL,1993,199916630.96,515725855.4
GA,1993,279664.59,23280360.02
HI,1993,274822.35000000003,48690571.769999996
IA,1993,26297385.52,38552574.07
ID,1993,500,563539.23
IL,1993,67033644.63,150318980.99
IN,1993,2814299.88,29176453.080000002
KS,1993,11897150.85,26373577.38
KY,1993,647229.47,61505965.09
LA,1993,25714121.61,712668124.53
MA,1993,1970146.85,190364189.43
MD,1993,382099.05,26262895.32
ME,1993,267612.06,21161587.79
MI,1993,559299.25,24286157.85
MN,1993,1874468.08,19835856.29
MO,1993,207384221.54,328436444.36
MS,1993,6028840.38,132775430.8
MT,1993,6870.95,2154297.67
NC,1993,20132047.56,67826510.66
ND,1993,298955.91,10031256.95
NE,1993,6371153.02,16959794.74
NH,1993,17896.5,5429967.03
NJ,1993,4034428.15,343691668.40999997
NM,1993,2732.99,1092807.4000000001
NV,1993,9675.55,2426184.7199999997
NY,1993,26823429.1,288682806.49
OH,1993,883637.8400000001,38500380.99
OK,1993,8797290.91,70702002.21000001
OR,1993,9631.86,3367302.01
PA,1993,7865023.149999999,78837588.56
PR,1993,672380.7000000001,44016816.07
RI,1993,563336.54,15541681.08
SC,1993,1197125.7,374882668.93
SD,1993,781424.28,1969714.8
TN,1993,429788.26999999996,15904308.28
TX,1993,10341095.16,829895899.47
UT,1993,1393.03,4491157.88
VA,1993,766927.36,70722033.58
VI,1993,0,8567724.41
VT,1993,213511.58,2905932.18
WA,1993,200022.02,36157032.8
WI,1993,2141780.31,6335431.37
WV,1993,103752.69,68741620.28
WY,1993,19170.629999999997,1050865
NA,1993,0,0
AK,1994,376731.85,1870922.6099999999
AL,1994,4432176.34,94898507.53
AR,1994,582159.73,21300862.84
AZ,1994,151214.19999999998,20413684.74
CA,1994,1305322.08,121013753.76
CO,1994,103628.58,3625911.3
CT,1994,909033.91,80708517.75999999
DE,1994,1103433.96,10154143.51
FL,1994,19944273.46,535670128.86
GA,1994,47842691.660000004,71123051.68
HI,1994,488415.8,49178987.57
IA,1994,40567.33,38593141.4
IL,1994,2927713.62,153246694.61
IN,1994,567177.08,29743630.16
KS,1994,1038606.7000000001,27412184.08
KY,1994,1722030.6,63227995.69
LA,1994,8839798.74,721507923.27
MA,1994,360077.66,190724267.09
MD,1994,738475.35,27001370.67
ME,1994,1205690.8800000001,22367278.669999998
MI,1994,218777.84,24504935.69
MN,1994,65133.969999999994,19900990.26
MO,1994,24858252.66,353294697.02
MS,1994,4782701.58,137558132.38
MT,1994,7750.84,2162048.51
NC,1994,4851208.61,72677719.27
ND,1994,7137.08,10038394.03
NE,1994,40342.23,17000136.97
NH,1994,14382.44,5444349.470000001
NJ,1994,15093434.46,358785102.87
NM,1994,39458.66,1132266.06
NV,1994,0,2426184.7199999997
NY,1994,5370518.42,294053324.91
OH,1994,6163764.33,44664145.32
OK,1994,3998929.4899999998,74700931.7
OR,1994,195201.01,3562503.02
PA,1994,5736270.72,84573859.28
PR,1994,52395.020000000004,44069211.09
RI,1994,331005.79,15872686.87
SC,1994,6016252.71,380898921.64000005
SD,1994,161388.68,2131103.48
TN,1994,4466500.59,20370808.87
TX,1994,226072596.24,1055968495.71
VA,1994,1538859.81,72260893.39
VI,1994,0,8567724.41
VT,1994,56116.88,2962049.06
WA,1994,578983.29,36736016.089999996
WI,1994,318067.08,6653498.45
WV,1994,5450582.15,74192202.42999999
WY,1994,46095.7,1096960.7
AK,1995,292904.58999999997,2163827.1999999997
AL,1995,18040799.72,112939307.25
AR,1995,143354.97,21444217.81
AZ,1995,530414.13,20944098.87
CA,1995,116368450.06,237382203.82
CO,1995,325190.26,3951101.56
CT,1995,885866.58,81594384.33999999
DC,1995,14828.32,898713.09
DE,1995,30338.48,10184481.99
FL,1995,421268130.5,956938259.36
GA,1995,3130500.56,74253552.24000001
GU,1995,20580.92,83173.84
HI,1995,1113694.3900000001,50292681.96
IA,1995,5598.22,38598739.62
ID,1995,73399.31999999999,636938.55
IL,1995,4493009.2,157739703.81
IN,1995,367787.4,30111417.560000002
KS,1995,1818182.87,29230366.95
KY,1995,677545.78,63905541.47
LA,1995,606713123.26,1328221046.53
MA,1995,599766.3200000001,191324033.41
MD,1995,478891.02,27480261.69
ME,1995,6405.1900000000005,22373683.86
MI,1995,96149.67,24601085.36
MN,1995,26133.19,19927123.45
MO,1995,18502788.84,371797485.86
MS,1995,16696466.84,154254599.22
MT,1995,38649.88,2200698.39
NC,1995,14544584.54,87222303.81
ND,1995,1005397.43,11043791.459999999
NE,1995,90081.84999999999,17090218.82
NH,1995,165249.79,5609599.26
NJ,1995,2521009.8000000003,361306112.66999996
NM,1995,84522.34000000001,1216788.4000000001
NV,1995,143384.56,2569569.28
NY,1995,5536174.31,299589499.22
OH,1995,1824521.18,46488666.5
OK,1995,6853021.56,81553953.26
OR,1995,415609.08,3978112.1
PA,1995,1064396.17,85638255.45
PR,1995,537675.01,44606886.1
RI,1995,7131,15879817.87
SC,1995,2161234.92,383060156.56
SD,1995,212757.95,2343861.43
TN,1995,1392692.5,21763501.37
TX,1995,14609282.16,1070577777.8700001
UT,1995,160775.23,4651933.11
VA,1995,4693608.12,76954501.50999999
VI,1995,10838477.7,19406202.11
VT,1995,565837.77,3527886.83
WA,1995,11020028.370000001,47756044.46
WI,1995,378309.01999999996,7031807.47
WV,1995,1980914.08,76173116.51
WY,1995,12490.189999999999,1109450.89
AK,1996,33379.1,2197206.3
AL,1996,1765121,114704428.25
AR,1996,345386.9,21789604.71
AZ,1996,669722.54,21613821.41
CA,1996,8284247.67,245666451.49
CO,1996,115416.15,4066517.71
CT,1996,8119197.7299999995,89713582.07
DC,1996,560586.78,1459299.87
DE,1996,640464.04,10824946.03
FL,1996,105537442.64,1062475702
GA,1996,6840129.7,81093681.94
GU,1996,0,83173.84
HI,1996,850992.89,51143674.85
IA,1996,2402326.64,41001066.26
ID,1996,1674073.6300000001,2311012.18
IL,1996,23720514.98,181460218.79
IN,1996,2605483.5,32716901.060000002
KS,1996,718825.47,29949192.419999998
KY,1996,4346668.99,68252210.46000001
LA,1996,6014076.02,1334235122.55
MA,1996,8589784.39,199913817.8
MD,1996,12192882.23,39673143.92
ME,1996,1913079.3,24286763.16
MI,1996,1160018.47,25761103.830000002
MN,1996,1480168.3800000001,21407291.830000002
MO,1996,5410507.27,377207993.13
MS,1996,1492746.59,155747345.81
MT,1996,609117.92,2809816.31
NC,1996,188746185.87,275968489.68
ND,1996,7628119.829999999,18671911.29
NE,1996,812926.16,17903144.98
NH,1996,2365408.94,7975008.2
NJ,1996,31311783.63,392617896.29999995
NM,1996,52475.11,1269263.51
NV,1996,244353.30000000002,2813922.58
NY,1996,38788687.51,338378186.73
OH,1996,4074385.98,50563052.48
OK,1996,985145.28,82539098.54
OR,1996,35246510.5,39224622.6
PA,1996,137962316.74,223600572.19
PR,1996,20907196.57,65514082.67
RI,1996,154838.91,16034656.78
SC,1996,4382960.260000001,387443116.82000005
SD,1996,240381.76,2584243.19
TN,1996,1506671.78,23270173.15
TX,1996,10141679.24,1080719457.1100001
UT,1996,8421.23,4660354.34
VA,1996,33260865.2,110215366.71
VI,1996,2188058.09,21594260.2
VT,1996,216578.6,3744465.43
WA,1996,36929717.2,84685761.66
WI,1996,268527.24,7300334.71
WV,1996,61489688.85,137662805.36
WY,1996,32140.239999999998,1141591.13
AK,1997,5153.4,2202359.6999999997
AL,1997,11366495.819999998,126070924.07
AR,1997,2003348.3,23792953.01
AZ,1997,272148.58,21885969.990000002
CA,1997,43971505.51,289637957
CO,1997,756079.39,4822597.1
CT,1997,70941.88,89784523.95
DC,1997,0,1459299.87
DE,1997,12638.01,10837584.04
FL,1997,12140985.870000001,1074616687.87
GA,1997,859664.35,81953346.29
GU,1997,201174,284347.84
HI,1997,479338.66000000003,51623013.51
IA,1997,1206015.5899999999,42207081.85
ID,1997,1712498.82,4023511
IL,1997,7563781.62,189024000.41
IN,1997,11113636.94,43830538
KS,1997,1255702.71,31204895.13
KY,1997,79952430.46000001,148204640.92000002
LA,1997,22656152.57,1356891275.12
MA,1997,1236736.71,201150554.51000002
MD,1997,28844.56,39701988.480000004
ME,1997,359034.94,24645798.1
MI,1997,1692292.5,27453396.330000002
MN,1997,60210429.17,81617721
MO,1997,1366970.3699999999,378574963.5
MS,1997,11337854.450000001,167085200.26
MT,1997,2290314.73,5100131.04
NC,1997,10765970.76,286734460.44
ND,1997,97629889.96,116301801.24999999
NE,1997,1385329.53,19288474.509999998
NH,1997,144159.1,8119167.3
NJ,1997,7116409.69,399734305.99
NM,1997,37439.77,1306703.28
NV,1997,19806857.78,22620780.36
NY,1997,2030328.81,340408515.54
OH,1997,25860267.77,76423320.25
OK,1997,743680.02,83282778.56
OR,1997,2774483,41999105.6
PA,1997,3509322.88,227109895.07000002
PR,1997,547816.13,66061898.8
RI,1997,149854.84,16184511.62
SC,1997,1210576.8,388653693.62
SD,1997,8075095.55,10659338.74
TN,1997,2943173.36,26213346.509999998
TX,1997,36848898.04,1117568355.15
UT,1997,18933.82,4679288.16
VA,1997,470251.66,110685618.36999999
VI,1997,0,21594260.2
VT,1997,343234.58,4087700.0100000002
WA,1997,4183891.33,88869652.99000001
WI,1997,8286261.06,15586595.77
WV,1997,8369543.78,146032349.14000002
WY,1997,218537.87,1360129
AK,1998,6545.4,2208905.1
AL,1998,94498596.7,220569520.77
AR,1998,1316192.49,25109145.5
AZ,1998,260797.81,22146767.8
CA,1998,60705282.96,350343239.96
CO,1998,480752.75,5303349.85
CT,1998,478336.49,90262860.44
DC,1998,23282.7,1482582.57
DE,1998,6174862.02,17012446.06
FL,1998,101720898.7,1176337586.57
GA,1998,16527779.03,98481125.32000001
HI,1998,104715.97,51727729.48
IA,1998,1622242.6500000001,43829324.5
ID,1998,28490.37,4052001.37
IL,1998,986154.7999999999,190010155.21
IN,1998,2361577.91,46192115.910000004
KS,1998,18340187.03,49545082.160000004
KY,1998,3938191.17,152142832.09
LA,1998,78136798.89,1435028074.01
MA,1998,5024146.22,206174700.73000002
MD,1998,2640471.54,42342460.02
ME,1998,669801.22,25315599.32
MI,1998,2413730.23,29867126.56
MN,1998,1752548.1500000001,83370269.15
MO,1998,14098411.6,392673375.09999996
MS,1998,53267907.9,220353108.16
MT,1998,32047.46,5132178.5
NC,1998,27987885.88,314722346.32
ND,1998,4941973.44,121243774.69
NE,1998,248449.47,19536923.98
NH,1998,735178.41,8854345.71
NJ,1998,23108046.71,422842352.7
NM,1998,34593.83,1341297.11
NV,1998,683214.09,23303994.45
NY,1998,7671907.14,348080422.68
OH,1998,14705476.1,91128796.35
OK,1998,2535490.59,85818269.15
OR,1998,3782622.34,45781727.94
PA,1998,750233.23,227860128.3
PR,1998,27066490.62,93128389.42
RI,1998,1569640.06,17754151.68
SC,1998,3124765.81,391778459.43
SD,1998,316772.56,10976111.3
TN,1998,5204740.95,31418087.46
TX,1998,265289475.72,1382857830.8700001
UT,1998,3061.72,4682349.88
VA,1998,9190553.44,119876171.81
VI,1998,3599492.54,25193752.74
VT,1998,919116.16,5006816.17
WA,1998,1193670.65,90063323.64
WI,1998,7382617.58,22969213.35
WV,1998,6696189.04,152728538.18
WY,1998,0,1360129
AK,1999,25043.29,2233948.3899999997
AL,1999,5927470.55,226496991.32
AR,1999,238914.44,25348059.94
AZ,1999,161732.86,22308500.66
CA,1999,1090592.06,351433832.02
CO,1999,2014470.44,7317820.29
CT,1999,4110062.6200000006,94372923.06
DC,1999,15689.310000000001,1498271.8800000001
DE,1999,7402252.19,24414698.25
FL,1999,137955680.83,1314293267.4
GA,1999,17458457.34,115939582.66
GU,1999,5333.7,289681.54
HI,1999,72324.48999999999,51800053.97
IA,1999,8025544.58,51854869.08
ID,1999,25985.78,4077987.1500000004
IL,1999,1521375.81,191531531.02
IN,1999,1268550.9300000002,47460666.84
KS,1999,869422.58,50414504.74
KY,1999,304010.3,152446842.39000002
LA,1999,14723364.53,1449751438.54
MA,1999,617278.08,206791978.81
MD,1999,4655154.48,46997614.5
ME,1999,48702.5,25364301.82
MI,1999,86191.34,29953317.900000002
MN,1999,1629661.9000000001,84999931.05
MO,1999,4237130.05,396910505.15
MS,1999,2509865.6,222862973.76
MT,1999,20058.57,5152237.07
NC,1999,232234830.86,546957177.1800001
ND,1999,3218073.13,124461847.82
NE,1999,554335.07,20091259.05
NH,1999,41303.67,8895649.38
NJ,1999,148566458.92,571408811.62
NM,1999,267058.3,1608355.4100000001
NV,1999,1689095.8699999999,24993090.32
NY,1999,14985229.77,363065652.45
OH,1999,396456.88999999996,91525253.24
OK,1999,2364291.92,88182561.07000001
OR,1999,6011234.9799999995,51792962.92
PA,1999,63365555.15,291225683.45
PR,1999,1323592.04,94451981.46000001
RI,1999,500626.35,18254778.03
SC,1999,21908108.970000003,413686568.40000004
SD,1999,1443806.85,12419918.15
TN,1999,995647.03,32413734.49
TX,1999,8728301.74,1391586132.6100001
UT,1999,3477.23,4685827.11
VA,1999,18814872.35,138691044.16
VI,1999,8071408.010000001,33265160.75
VT,1999,8229.14,5015045.3100000005
WA,1999,2136515.61,92199839.25
WI,1999,255038.61000000002,23224251.96
WV,1999,191284.62999999998,152919822.81
WY,1999,123.12,1360252.1199999999
NA,1999,0,0
AK,2000,9395.08,2243343.4699999997
AL,2000,2454115.99,228951107.31
AR,2000,411148.08,25759208.02
AZ,2000,382775.02,22691275.68
CA,2000,1646363.15,353080195.17
CO,2000,92697.79,7410518.08
CT,2000,1980402.4799999997,96353325.53999999
DC,2000,0,1498271.8800000001
DE,2000,477919.74,24892617.99
FL,2000,166686598.68,1480979866.08
GA,2000,1119979.51,117059562.17
GU,2000,1775.61,291457.15
HI,2000,1908451.05,53708505.019999996
IA,2000,275907.05,52130776.13
ID,2000,1851.12,4079838.27
IL,2000,1842833.02,193374364.04
IN,2000,387464.29,47848131.13
KS,2000,14849.71,50429354.45
KY,2000,2023920.28,154470762.67000002
LA,2000,2118105.81,1451869544.35
MA,2000,232740.86,207024719.67000002
MD,2000,212434.68,47210049.18
ME,2000,54987.73,25419289.55
MI,2000,698877.2000000001,30652195.1
MN,2000,2317631.29,87317562.34
MO,2000,5920903.78,402831408.93
MS,2000,728180,223591153.76
MT,2000,0,5152237.07
NC,2000,4166757.1399999997,551123934.32
ND,2000,2427984.93,126889832.75
NE,2000,18762.29,20110021.34
NH,2000,116965,9012614.38
NJ,2000,5032956.4,576441768.02
NM,2000,122421.15,1730776.56
NV,2000,58176.97,25051267.29
NY,2000,3978588.32,367044240.77
OH,2000,2054441.71,93579694.95
OK,2000,8343541.44,96526102.51
OR,2000,155123.03,51948085.95
PA,2000,6972836.58,298198520.03000003
PR,2000,490993.85000000003,94942975.31
RI,2000,167289.13,18422067.16
SC,2000,1334213.57,415020781.97
SD,2000,50000,12469918.15
TN,2000,1138434.35,33552168.84
TX,2000,14708332.47,1406294465.0800002
UT,2000,123.94,4685951.05
VA,2000,1432755.5699999998,140123799.73
VI,2000,35136.14,33300296.89
VT,2000,610956.87,5626002.18
WA,2000,263028.78,92462868.03
WI,2000,512462.41,23736714.37
WV,2000,3547803.21,156467626.02
WY,2000,569.76,1360821.88
NA,2000,0,0
AK,2001,7040.56,2250384.03
AL,2001,744873.0599999999,229695980.37
AR,2001,1655913.8900000001,27415121.91
AZ,2001,80151.93000000001,22771427.61
CA,2001,2866529.54,355946724.71
CO,2001,141378.41999999998,7551896.5
CT,2001,1525213.26,97878538.8
DC,2001,1155.59,1499427.47
DE,2001,74244.22,24966862.21
FL,2001,45361228.58,1526341094.66
GA,2001,1128928.33,118188490.5
HI,2001,185481.06,53893986.08
IA,2001,6153313.49,58284089.62
ID,2001,20179.04,4100017.31
IL,2001,7880395.32,201254759.36
IN,2001,231044.09,48079175.22
KS,2001,669178.76,51098533.21
KY,2001,1259900.05,155730662.72
LA,2001,103378072.58,1555247616.93
MA,2001,6538979.74,213563699.41
MD,2001,155470.53,47365519.71
ME,2001,126391.16,25545680.71
MI,2001,1589941.66,32242136.76
MN,2001,8056498.69,95374061.03
MO,2001,4780185.91,407611594.84
MS,2001,11769458.23,235360611.99
MT,2001,108413.59,5260650.66
NC,2001,1278710.97,552402645.29
ND,2001,2798637.54,129688470.28999999
NE,2001,112504.62999999999,20222525.97
NH,2001,189463.28,9202077.66
NJ,2001,2474605.58,578916373.6
NM,2001,58558.09,1789334.6500000001
NV,2001,26872.629999999997,25078139.92
NY,2001,1206794.27,368251035.04
OH,2001,3773764.73,97353459.67999999
OK,2001,506982.89999999997,97033085.41
OR,2001,14234.58,51962320.53
PA,2001,26137089.48,324335609.51
PR,2001,3007983.1,97950958.41
RI,2001,872508.2100000001,19294575.37
SC,2001,1783022.45,416803804.42
SD,2001,976733.04,13446651.19
TN,2001,1600069.01,35152237.85
TX,2001,1004074397.05,2410368862.13
UT,2001,5642.98,4691594.03
VA,2001,2315787.81,142439587.54
VI,2001,360149.25,33660446.14
VT,2001,5454.73,5631456.91
WA,2001,900176.46,93363044.49000001
WI,2001,2486657.61,26223371.98
WV,2001,13500144.940000001,169967770.96
WY,2001,0,1360821.88
AK,2002,308496.55,2558880.58
AL,2002,7623529.18,237319509.55
AR,2002,2557125.1,29972247.01
AZ,2002,406668.82,23178096.43
CA,2002,7841748.76,363788473.47
CO,2002,435778.97000000003,7987675.47
CT,2002,210462.34,98089001.14
DE,2002,20471.81,24987334.02
FL,2002,8364848.16,1534705942.82
GA,2002,1359112.06,119547602.56
GU,2002,1112718.17,1404175.3199999998
HI,2002,617834.01,54511820.089999996
IA,2002,1048406.01,59332495.63
ID,2002,116676.76,4216694.07
IL,2002,5572214.55,206826973.91
IN,2002,1298258.97,49377434.19
KS,2002,80668.7,51179201.910000004
KY,2002,6831196.52,162561859.24
LA,2002,133193938.75,1688441555.68
MA,2002,571331.73,214135031.14000002
MD,2002,191697.62,47557217.33
ME,2002,77805.34,25623486.05
MI,2002,118700.72,32360837.48
MN,2002,4102404.1999999997,99476465.23
MO,2002,6264961.41,413876556.25
MS,2002,19982640.22,255343252.21
MT,2002,4443.68,5265094.34
NC,2002,2095709.31,554498354.6
ND,2002,529853.63,130218323.91999999
NE,2002,26369.95,20248895.919999998
NH,2002,53016.03,9255093.69
NJ,2002,1008720.88,579925094.48
NM,2002,136750.67,1926085.32
NV,2002,0,25078139.92
NY,2002,1411496.4100000001,369662531.45
OH,2002,1632372.3699999999,98985832.05
OK,2002,612252.01,97645337.42
OR,2002,540930.09,52503250.62
PA,2002,905537.16,325241146.67
PR,2002,219440.29,98170398.7
RI,2002,35038.08,19329613.45
SC,2002,1181661.6099999999,417985466.03000003
SD,2002,56164.72,13502815.91
TN,2002,3516056.05,38668293.9
TX,2002,198749155.48000002,2609118017.61
UT,2002,48269.17999999999,4739863.21
VA,2002,3080564.39,145520151.93
VI,2002,40337.57,33700783.71
VT,2002,969041.11,6600498.0200000005
WA,2002,167391,93530435.49000001
WI,2002,562651.5800000001,26786023.56
WV,2002,5751448.51,175719219.47
WY,2002,4695.27,1365517.15
AK,2003,166265.74000000002,2725146.32
AL,2003,13150555.94,250470065.49
AR,2003,2571206.94,32543453.95
AZ,2003,489880.4,23667976.830000002
CA,2003,1864233.52,365652706.99
CO,2003,46206.69,8033882.16
CT,2003,350057,98439058.14
DC,2003,312246.74,1811674.21
DE,2003,18274715.9,43262049.92
FL,2003,14014209.56,1548720152.38
GA,2003,4387777.78,123935380.34
HI,2003,1769810.42,56281630.51
IA,2003,12317.4,59344813.03
ID,2003,19487.449999999997,4236181.5200000005
IL,2003,938426.3899999999,207765400.3
IN,2003,14734491.72,64111925.910000004
KS,2003,700241.91,51879443.82
KY,2003,8988003.16,171549862.4
LA,2003,11888838.34,1700330394.02
MA,2003,3171131.9499999997,217306163.09
MD,2003,175426948.82999998,222984166.16
ME,2003,337127.01,25960613.06
MI,2003,43142.72,32403980.2
MN,2003,463189.38000000006,99939654.61
MO,2003,2447430.8800000004,416323987.13
MS,2003,19161624.32,274504876.53
MT,2003,63256.369999999995,5328350.71
NC,2003,111736628.22,666234982.82
ND,2003,123130,130341453.91999999
NE,2003,174995.36,20423891.279999997
NH,2003,164096.95,9419190.64
NJ,2003,3433460.5,583358554.98
NM,2003,56370.83,1982456.1500000001
NV,2003,961823.4,26039963.32
NY,2003,3109577.98,372772109.43
OH,2003,12007393.01,110993225.06
OK,2003,95834.15,97741171.57000001
OR,2003,370856.95,52874107.57
PA,2003,10437589.08,335678735.75
PR,2003,2454792.02,100625190.72
RI,2003,27926.89,19357540.34
SC,2003,1202109.51,419187575.54
SD,2003,6544.05,13509359.96
TN,2003,17571471.02,56239764.92
TX,2003,53265199.12,2662383216.73
UT,2003,9396.67,4749259.88
VA,2003,236173599.9,381693751.83
VI,2003,2734534.46,36435318.17
VT,2003,18653.68,6619151.7
WA,2003,6683239.88,100213675.37
WI,2003,764484.17,27550507.73
WV,2003,21376461.349999998,197095680.82
WY,2003,22627.809999999998,1388144.96
AK,2004,524159.44,3249305.76
AL,2004,363312945.65,613783011.14
AR,2004,2340092.38,34883546.33
AZ,2004,1876248.9799999997,25544225.81
CA,2004,6334800.15,371987507.14
CO,2004,73053.36,8106935.52
CT,2004,352687.74,98791745.88
DC,2004,6732.54,1818406.75
DE,2004,6346002.67,49608052.589999996
FL,2004,1268760268.66,2817480421.04
GA,2004,28662455.63,152597835.97
GU,2004,147834.87,1552010.19
HI,2004,850021.3600000001,57131651.87
IA,2004,2939625.5,62284438.53
ID,2004,4607.52,4240789.04
IL,2004,2369933.29,210135333.59
IN,2004,2967837.12,67079763.03
KS,2004,1603819.3900000001,53483263.21
KY,2004,9057269.68,180607132.08
LA,2004,32225670.48,1732556064.5
MA,2004,1745048.16,219051211.25
MD,2004,5376961.11,228361127.26999998
ME,2004,2598.5,25963211.56
MI,2004,5863066.149999999,38267046.35
MN,2004,6029742.51,105969397.12
MO,2004,3275618.71,419599605.84
MS,2004,3159806.44,277664682.97
MT,2004,1195.72,5329546.43
NC,2004,39878570.16,706113552.98
ND,2004,1399504.3499999999,131740958.27
NE,2004,296883.76999999996,20720775.05
NH,2004,220003.63,9639194.27
NJ,2004,21262374.76,604620929.74
NM,2004,220478.93000000002,2202935.08
NV,2004,4578.04,26044541.36
NY,2004,13157363.43,385929472.86
OH,2004,36308581.51,147301806.57
OK,2004,2213620.44,99954792.01
OR,2004,30041.21,52904148.78
PA,2004,210669879.44,546348615.19
PR,2004,5250032.31,105875223.03
RI,2004,24891.53,19382431.87
SC,2004,5695972.82,424883548.36
SD,2004,268077.43000000005,13777437.39
TN,2004,4854602.4,61094367.32
TX,2004,61048102.68,2723431319.41
UT,2004,15713.279999999999,4764973.16
VA,2004,18642634.29,400336386.12
VI,2004,3150319.7199999997,39585637.89
VT,2004,5406.67,6624558.37
WA,2004,619910.6,100833585.97
WI,2004,1498435.57,29048943.3
WV,2004,49489845.050000004,246585525.87
WY,2004,0,1388144.96
NA,2004,0,0
AK,2005,215431.38999999998,3464737.15
AL,2005,304150212.42,917933223.56
AR,2005,291212.51,35174758.84
AZ,2005,1085565.03,26629790.84
CA,2005,91696531.15,463684038.29
CO,2005,72884.77,8179820.29
CT,2005,6851957.36,105643703.24
DC,2005,1204.66,1819611.41
DE,2005,49121.229999999996,49657173.82
FL,2005,628696002.72,3446176423.76
GA,2005,13822496.88,166420332.85
