state,yearofloss,amount_paid,cum_paid
HI,1979,185919.69,316945.12
IA,1979,666073.14,867622.05
ID,1979,68000.81999999999,85982.68999999999
IL,1979,16683683.78,18026115.91
IN,1979,1019361.09,2095805.41
KS,1979,2576957.9499999997,2856606.6799999997
KY,1979,2155394.31,10135136.549999999
LA,1979,18639320.84,67887919.85
MA,1979,6096053.7700000005,27267230.76
MD,1979,9108763.13,9710695.89
ME,1979,515563,3784424
MI,1979,438293.20999999996,800207.69
MN,1979,4099422.29,10859549.49
MO,1979,17641240.77,18472316.65
MS,1979,26798477.19,27076710.27
MT,1979,716712.86,1359308.99
NC,1979,2380734.26,3268145.4999999995
ND,1979,6882266.68,8234107.85
NE,1979,239177.86,1705488.85
NH,1979,279607.45,1294320.8900000001
NJ,1979,6524598.85,13870462.65
NM,1979,110907.42,159731.39
NV,1979,12503.72,37808.05
NY,1979,26999736.52,43315367.01
OH,1979,5376516.5,7972810.95
OK,1979,1241440.75,1553523.91
OR,1979,98294.7,436459.77
PA,1979,12469178.62,19675942.43
PR,1979,7101677.53,7871993.2
RI,1979,2075519.8099999998,2958033.78
SC,1979,1693774.3800000001,1713948.86
SD,1979,36892.66,311528.82999999996
TN,1979,2290211.61,2786109.86
TX,1979,220825919.97000003,223797007.24000004
UT,1979,16956,73524.35
VA,1979,2228012.4699999997,6914774.859999999
VI,1979,862149.49,934896.1
VT,1979,55816.1,90370.94
WA,1979,676240.12,1571897.83
WI,1979,896983.19,1144245.49
WV,1979,2585106.88,10423374.36
WY,1979,51867.86,149868.58000000002
AK,1980,49458.329999999994,86069.75
AL,1980,6641473.64,51580654.480000004
AR,1980,528968.36,3194150.48
AZ,1980,2665238.0300000003,6268167.100000001
CA,1980,12796776.17,18969279.009999998
CO,1980,294038.69,575456.31
CT,1980,4357565.95,9044790.84
DC,1980,28111.63,149115.43
DE,1980,372347.14999999997,731177.19
FL,1980,953936.41,19799717.930000003
GA,1980,750497.08,4207641.84
GU,1980,0,0
HI,1980,1046142.18,1363087.3
IA,1980,185025.63,1052647.68
ID,1980,104238.52,190221.21
IL,1980,740837.2300000001,18766953.14
IN,1980,551214.38,2647019.79
KS,1980,51078.25,2907684.9299999997
KY,1980,408367.04,10543503.59
LA,1980,107985178.91000001,175873098.76000002
MA,1980,425029.02,27692259.78
MD,1980,138104.5,9848800.39
ME,1980,59837.04,3844261.04
MI,1980,1277708,2077915.69
MN,1980,173773.97,11033323.46
MO,1980,194884.96000000002,18667201.61
MS,1980,6802424.75,33879135.02
MT,1980,42000.27,1401309.26
NC,1980,1397304.55,4665450.05
ND,1980,48821.39,8282929.239999999
NE,1980,121648.30000000002,1827137.1500000001
NH,1980,16929.4,1311250.29
NJ,1980,8877606.65,22748069.3
NM,1980,56540.94,216272.33000000002
NV,1980,58245.91,96053.96
NY,1980,16302325.37,59617692.379999995
OH,1980,2802567.53,10775378.48
OK,1980,403922.72,1957446.63
OR,1980,506433.29,942893.0599999999
PA,1980,2213018.95,21888961.38
PR,1980,505042.21,8377035.41
RI,1980,143289.22,3101323
SC,1980,50287.55,1764236.4100000001
SD,1980,7334.449999999999,318863.27999999997
TN,1980,696255.33,3482365.19
TX,1980,35717509.059999995,259514516.3
UT,1980,7645.860000000001,81170.20999999999
VA,1980,530892.83,7445667.6899999995
VI,1980,23521.94,958418.04
VT,1980,35666.4,126037.34
WA,1980,5899461.44,7471359.2700000005
WI,1980,251603.99,1395849.48
WV,1980,4113965.18,14537339.540000001
WY,1980,2198,152066.58000000002
AK,1981,21703.440000000002,107773.19
AL,1981,18281664.099999998,69862318.58
AR,1981,613203.79,3807354.27
AZ,1981,228881.90000000002,6497049
CA,1981,1825299.39,20794578.4
CO,1981,112883.39,688339.7
CT,1981,32404.96,9077195.8
DC,1981,756.66,149872.09
DE,1981,16289.050000000001,747466.24
FL,1981,1976710.32,21776428.25
GA,1981,189663.46,4397305.3
HI,1981,86972.74,1450060.04
