FIPS,State,County,Wildfire
8003,CO,NA,Low
8005,CO,NA,Low
8007,CO,Archuleta,High
8009,CO,NA,Low
8011,CO,NA,Low
8013,CO,Boulder,Medium
8015,CO,NA,Low
8017,CO,NA,Low
8019,CO,NA,Low
8021,CO,NA,Low
8023,CO,NA,Low
8025,CO,NA,Low
8027,CO,NA,Low
8029,CO,Delta,Medium
8031,CO,NA,Low
8033,CO,Dolores,Medium
8035,CO,Douglas,Medium
8037,CO,Eagle,Medium
8039,CO,NA,Low
8041,CO,NA,Low
8043,CO,NA,Low
8045,CO,Garfield,High
8047,CO,NA,Low
8049,CO,NA,Low
8051,CO,NA,Low
8053,CO,Hinsdale,Medium
8055,CO,NA,Low
8057,CO,NA,Low
8059,CO,Jefferson,Medium
8061,CO,NA,Low
8063,CO,NA,Low
8065,CO,NA,Low
8067,CO,La Plata,High
8069,CO,NA,Low
8071,CO,NA,Low
8073,CO,NA,Low
8075,CO,NA,Low
8077,CO,Mesa,High
8079,CO,Mineral,Medium
8081,CO,Moffat,Medium
8083,CO,Montezuma,High
8085,CO,Montrose,High
8087,CO,NA,Low
8089,CO,NA,Low
8091,CO,Ouray,Medium
8093,CO,NA,Low
8095,CO,NA,Low
8097,CO,NA,Low
8099,CO,NA,Low
8101,CO,NA,Low
8103,CO,Rio Blanco,High
8105,CO,NA,Low
8107,CO,Routt,Medium
8109,CO,NA,Low
8111,CO,NA,Low
8113,CO,San Miguel,Medium
8115,CO,NA,Low
8117,CO,NA,Low
8119,CO,Teller,High
8121,CO,NA,Low
8123,CO,NA,Low
8125,CO,NA,Low
9001,CT,NA,Low
9003,CT,NA,Low
9005,CT,NA,Low
9007,CT,NA,Low
9009,CT,NA,Low
9011,CT,NA,Low
9013,CT,NA,Low
9015,CT,NA,Low
10001,DE,NA,Low
10003,DE,NA,Low
10005,DE,NA,Low
11001,DC,NA,Low
12001,FL,Alachua,High
12003,FL,Baker,High
12005,FL,Bay,High
12007,FL,Bradford,High
12009,FL,Brevard,High
12011,FL,Broward,High
12013,FL,Calhoun,High
12015,FL,Charlotte,High
12017,FL,Citrus,High
12019,FL,Clay,High
12021,FL,Collier,High
12023,FL,Columbia,High
12025,FL,Miami-Dade,High
12027,FL,DeSoto,Medium
12029,FL,Dixie,High
12031,FL,Duval,Medium
